Order_ID,customer_id,product_id,Order_Date,City,Region,Quantity,Price,Total_Sales,Payment_Method
1000,C1,P1,2023-01-01,Chennai,West,1,50996,50996,Cash
1002,C2,P2,2023-01-03,unknown,North,2,56052,112104,Credit Card
1004,C3,P1,2023-01-05,Chennai,West,4,7790,31160,UPI
1005,C4,P4,2023-01-06,Mumbai,South,3,77354,232062,Credit Card
1006,C5,P5,2023-01-07,Delhi,North,2,51058,102116,Debit Card
1007,C6,P6,2023-01-08,Chennai,South,3,8781,26343,unknown
1008,C7,P1,2023-01-09,Pune,unknown,1,49935,49935,unknown
1009,C8,P1,2023-01-10,Pune,North,4,35922,143688,Credit Card
1010,C9,P9,2023-01-11,Mumbai,unknown,1,73597,73597,Credit Card
1011,C10,P2,2023-01-12,Bangalore,East,4,53068,212272,UPI
1012,C11,P11,2023-01-13,Mumbai,North,4,25872,103488,Debit Card
1013,C8,P2,2023-01-14,Bangalore,West,1,16928,16928,Cash
1014,C13,P5,2023-01-15,Bangalore,East,1,76070,76070,Cash
1015,C14,P1,2023-01-16,Delhi,West,4,32076,128304,Cash
1016,C1,P9,2023-01-17,unknown,North,2,60554,121108,Cash
1017,C16,P16,2023-01-18,Pune,East,1,57906,57906,Credit Card
1018,C1,P2,2023-01-19,Hyderabad,South,1,4126,4126,Debit Card
1019,C18,P11,2023-01-20,Mumbai,South,3,52257,156771,Credit Card
1020,C11,P6,2023-01-21,Pune,South,1,17798,17798,Cash
1021,C11,P20,2023-01-22,Hyderabad,South,1,1862,1862,Debit Card
1022,C21,P4,2023-01-23,Hyderabad,North,4,79109,316436,Credit Card
1023,C22,P6,2023-01-24,Bangalore,South,1,14046,14046,UPI
1024,C4,P6,2023-01-25,Chennai,West,1,31310,31310,Cash
1025,C24,P20,2023-01-26,Delhi,North,2,36484,72968,unknown
1027,C25,P5,2023-01-28,Chennai,South,4,56915,227660,Credit Card
1028,C6,P20,2023-01-29,Pune,South,3,51265,153795,Debit Card
1029,C27,P27,2023-01-30,Pune,North,2,22753,45506,unknown
1030,C28,P16,2023-01-31,Delhi,unknown,2,45311,90622,Debit Card
1031,C29,P27,2023-02-01,Bangalore,West,1,54428,54428,Debit Card
1032,C30,P11,2023-02-02,Bangalore,unknown,4,23676,94704,Debit Card
1033,C31,P1,2023-02-03,unknown,South,2,40978,81956,Cash
